name,calories,protein,fat,carbs,fiber,sugar,p_ratio,f_ratio,c_ratio,type_any,type_breakfast,type_lunch/dinner,type_snack
puffed rice,0.025176896494981078,0.004283419596644655,0.0003631741420010895,0.08739108149666838,0.00784313725490196,0.0,0.0653950953678474,0.005449591280653951,0.9291553133514986,True,False,False,False
filinchen gutena,0.003126542701991114,0.0007139032661074426,0.0003631741420010895,0.001281394156842645,0.0,9.605488850771869e-05,0.36363636363636365,0.18181818181818182,0.45454545454545453,False,False,False,True
melba toast crackers,0.019252920849103176,0.006425129394966983,0.0018158707100054475,0.058944131214761664,0.02483660130718954,0.0010291595197255575,0.13043478260869565,0.036231884057971016,0.8333333333333333,True,False,False,False
matzo crackers with egg onion,0.017936481816685865,0.004997322862752097,0.0019974577810059923,0.05535622757560226,0.018300653594771243,0.0,0.10980392156862745,0.04313725490196079,0.8470588235294119,True,False,False,False
cornnuts,0.020733914760572653,0.004283419596644655,0.00798983112402397,0.05202460276781139,0.026143790849673203,0.000686106346483705,0.08856088560885608,0.16236162361623616,0.7490774907749077,True,False,False,False
bagel chips,0.12983379957215732,0.0385507763698019,0.048120573815144355,0.29753972321886213,0.09411764705882353,0.03602058319039451,0.13154689403166872,0.16138855054811208,0.7070645554202193,False,False,True,False
pretzels,0.01892381109099885,0.005354274495805819,0.0016342836390049029,0.06176319835981549,0.013071895424836602,0.002401372212692967,0.10714285714285714,0.03214285714285715,0.8607142857142858,True,False,False,False
potato raw,0.02698700016455488,0.007674460110655007,0.0003631741420010895,0.09533572526909279,0.06143790849673203,0.005831903945111492,0.10311750599520382,0.004796163069544364,0.8920863309352518,False,True,False,False
gatto di patate home made,0.03324008556853711,0.0,0.01706918467405121,0.01025115325474116,0.0,0.012349914236706689,0.0,0.7014925373134329,0.29850746268656714,True,False,False,False
baked potato,0.02649333552739839,0.007674460110655007,0.0003631741420010895,0.09379805228088162,0.04967320261437908,0.00686106346483705,0.10462287104622871,0.004866180048661801,0.8905109489051095,False,True,False,False
potato sticks,0.030936317261806814,0.004283419596644655,0.02251679680406755,0.04920553562275756,0.01568627450980392,2.058319039451115e-05,0.07058823529411765,0.3647058823529412,0.5647058823529412,True,False,False,False
potato cooked,0.008556853710712523,0.001963233981795467,1.0895224260032685e-05,0.031009738595592005,0.01568627450980392,0.0017152658662092624,0.08329547175526276,0.0004543389368468878,0.9162501893078904,False,False,False,True
vivaldi potatoes sainsburys,0.0037847622181997696,0.0,0.00018158707100054475,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,True
potato ham chowder soup,0.03159453677801547,0.011600928074245941,0.022698383875068093,0.03434136340338288,0.018300653594771243,0.0,0.2006172839506173,0.38580246913580246,0.41358024691358025,True,False,False,False
russet potato raw,0.04805002468323186,0.014099589505621991,0.0005447612130016342,0.17093798052280884,0.06274509803921569,0.007890222984562606,0.1054739652870494,0.004005340453938584,0.890520694259012,False,True,False,False
russet potato baked,0.04772091492512753,0.014099589505621991,0.000726348284002179,0.16427473090722708,0.09019607843137256,0.01097770154373928,0.10911602209944753,0.005524861878453039,0.8853591160220995,False,True,False,False
french fries,0.002139213427678131,0.0003569516330537213,0.000726348284002179,0.005638134290107638,0.0026143790849673205,0.00030188679245283015,0.07142857142857142,0.14285714285714285,0.7857142857142857,False,False,False,True
potato scalloped,0.0355438538752674,0.012493307156880244,0.016342836390049027,0.06765761148129165,0.06143790849673203,0.0,0.16509433962264153,0.21226415094339623,0.6226415094339622,False,True,False,False
cottage fries,0.0018101036695738028,0.0003569516330537213,0.000726348284002179,0.004869297796002051,0.0026143790849673205,6.518010291595197e-05,0.08,0.16,0.76,False,False,False,True
mashed potatoes,0.03537929899621524,0.007139032661074425,0.012347920828037042,0.09097898513582779,0.040522875816993466,0.00411663807890223,0.08639308855291578,0.1468682505399568,0.7667386609071275,False,True,False,False
mashed potato with milk and butter,0.038999506335362845,0.006960556844547564,0.016161249319048485,0.09046642747309072,0.04183006535947713,0.010291595197255574,0.08108108108108109,0.18503118503118507,0.7338877338877339,False,True,False,False
red potato raw,0.02451867697877242,0.007139032661074425,0.0005447612130016342,0.08687852383393133,0.047058823529411764,0.009262435677530018,0.10471204188481677,0.007853403141361258,0.8874345549738221,False,True,False,False
potato pancake,0.00970873786407767,0.0023201856148491883,0.005810786272017432,0.015633008713480268,0.009150326797385621,0.00137221269296741,0.12264150943396228,0.30188679245283023,0.5754716981132075,False,False,False,True
potato puffs,0.03998683560967583,0.0046403712296983765,0.019974577810059922,0.09097898513582779,0.04183006535947713,0.0010291595197255575,0.05295315682281059,0.2240325865580448,0.7230142566191445,False,True,False,False
red potato baked,0.01217706104986013,0.0035695163305372126,0.00018158707100054475,0.042798564838544335,0.0196078431372549,0.00411663807890223,0.10638297872340426,0.005319148936170213,0.8882978723404255,False,False,False,True
potatoes canned,0.021721244034885637,0.006425129394966983,0.0005447612130016342,0.07611481291645311,0.05490196078431373,0.0,0.10714285714285714,0.008928571428571428,0.8839285714285714,False,True,False,False
potato skin raw,0.0036202073391476057,0.0017847581652686063,0.00017977120029053932,0.012045105074320862,0.013071895424836602,0.0,0.17244352474564578,0.017071908949818936,0.8104845663045352,False,False,False,True
shoestring french fries,0.0006582195162086556,0.00017669105836159204,0.00018158707100054475,0.0017939518195797027,0.0012941176470588236,0.00021269296740994854,0.11012235817575083,0.11123470522803115,0.778642936596218,False,False,False,True
